Filename,Emotion_Code,Emotion_Label,Actor_ID,File_Path
03-01-01-01-01-01-01.wav,01,neutral,01,Audios/Actor_01/03-01-01-01-01-01-01.wav
03-01-01-01-01-02-01.wav,01,neutral,01,Audios/Actor_01/03-01-01-01-01-02-01.wav
03-01-01-01-02-01-01.wav,01,neutral,01,Audios/Actor_01/03-01-01-01-02-01-01.wav
03-01-01-01-02-02-01.wav,01,neutral,01,Audios/Actor_01/03-01-01-01-02-02-01.wav
03-01-02-01-01-01-01.wav,02,calm,01,Audios/Actor_01/03-01-02-01-01-01-01.wav
03-01-02-01-01-02-01.wav,02,calm,01,Audios/Actor_01/03-01-02-01-01-02-01.wav
03-01-02-01-02-01-01.wav,02,calm,01,Audios/Actor_01/03-01-02-01-02-01-01.wav
03-01-02-01-02-02-01.wav,02,calm,01,Audios/Actor_01/03-01-02-01-02-02-01.wav
03-01-02-02-01-01-01.wav,02,calm,01,Audios/Actor_01/03-01-02-02-01-01-01.wav
03-01-02-02-01-02-01.wav,02,calm,01,Audios/Actor_01/03-01-02-02-01-02-01.wav
03-01-02-02-02-01-01.wav,02,calm,01,Audios/Actor_01/03-01-02-02-02-01-01.wav
03-01-02-02-02-02-01.wav,02,calm,01,Audios/Actor_01/03-01-02-02-02-02-01.wav
03-01-03-01-01-01-01.wav,03,happy,01,Audios/Actor_01/03-01-03-01-01-01-01.wav
03-01-03-01-01-02-01.wav,03,happy,01,Audios/Actor_01/03-01-03-01-01-02-01.wav
03-01-03-01-02-01-01.wav,03,happy,01,Audios/Actor_01/03-01-03-01-02-01-01.wav
03-01-03-01-02-02-01.wav,03,happy,01,Audios/Actor_01/03-01-03-01-02-02-01.wav
03-01-03-02-01-01-01.wav,03,happy,01,Audios/Actor_01/03-01-03-02-01-01-01.wav
03-01-03-02-01-02-01.wav,03,happy,01,Audios/Actor_01/03-01-03-02-01-02-01.wav
03-01-03-02-02-01-01.wav,03,happy,01,Audios/Actor_01/03-01-03-02-02-01-01.wav
03-01-03-02-02-02-01.wav,03,happy,01,Audios/Actor_01/03-01-03-02-02-02-01.wav
03-01-04-01-01-01-01.wav,04,sad,01,Audios/Actor_01/03-01-04-01-01-01-01.wav
03-01-04-01-01-02-01.wav,04,sad,01,Audios/Actor_01/03-01-04-01-01-02-01.wav
03-01-04-01-02-01-01.wav,04,sad,01,Audios/Actor_01/03-01-04-01-02-01-01.wav
03-01-04-01-02-02-01.wav,04,sad,01,Audios/Actor_01/03-01-04-01-02-02-01.wav
